算法                                    x            y          z        rx        ry       rz  四元数姿态(w,x,y,z)                                                                           距离
---------------------------  ------------  -----------  ---------  --------  --------  -------  ---------------------------------------------------------------------------------------  ---------
end_link->marker:Tsai-Lenz    0.000631809  -0.0023743   0.0155507  -2.64242  0.403893  52.023   [0.8984257576049053, -0.022267062643648958, -0.006945072246830941, 0.4385055324220695]   0.0157435
end_link->marker:Park        -0.000408799  -0.00174727  0.0159394  -2.61496  0.398855  56.843   [0.8791980557964759, -0.02172371293199122, -0.0077998474210024815, 0.47589707013213917]  0.0160401
end_link->marker:Horaud      -0.000592667  -0.00164663  0.0159472  -2.86912  0.426152  57.4243  [0.8767186511448204, -0.023742804166063294, -0.008766448736643673, 0.4803372100531949]   0.016043
end_link->marker:Daniilidis  -0.000758599  -0.00153531  0.0182835  -3.45345  0.331545  60.8279  [0.8619509774476978, -0.02744986586694497, -0.012760313926690414, 0.5060871384745295]    0.0183636

算法               x             y            z         rx          ry        rz         距离
------  ------------  ------------  -----------  ---------  ----------  --------  -----------
mean    -0.000282064  -0.00182588   0.0164302    -2.89499   0.390111    56.7796   0.0165475
var      2.93697e-07   1.05876e-07  1.17065e-06   0.113688  0.00124883   9.85838  1.11411e-06
std      0.000541938   0.000325387  0.00108197    0.337176  0.0353388    3.13981  0.00105551
Tsai-Lenz                      x             y           z        rx           ry           rz  四元数姿态(w,x,y,z)                                                                           距离
-------------------  -----------  ------------  ----------  --------  -----------  -----------  ----------------------------------------------------------------------------------------  --------
base_link->camera0   -0.132622     0.00955336   0.569963     3.13962  -0.0267842   -2.94383     [0.013423638953910516, 0.09869968604549811, -0.9950266638806091, 0.0003406734217434838]   0.585267
base_link->camera1   -0.103742     0.0272592    0.541551    -3.10457  -0.111836    -2.91691     [0.05345549010571085, 0.1129378731353438, -0.9918573676110589, 0.02462741774697403]       0.552071
base_link->camera2   -0.0975158    0.0469123    0.537968    -3.0657   -0.134321    -2.92937     [0.06267607488065846, 0.10812778008063151, -0.991150088744652, 0.044739181863970065]      0.548744
base_link->camera3   -0.0985686    0.0590048    0.53321     -3.05063  -0.131707    -2.95342     [0.06118510521055596, 0.09662629366525716, -0.9921107626280943, 0.05134176614014638]      0.545445
base_link->camera4   -0.175391     0.0478514    0.568722    -3.02393   0.0288521   -2.95622     [0.019780278682469742, -0.09154117987053992, 0.9939599480965615, -0.05720642047038393]    0.597073
base_link->camera5   -0.14716      0.0786395    0.544512    -2.96206  -0.0331914   -2.92082     [0.006553659096377564, 0.11118125129061528, -0.9896119395769554, 0.09090647920054086]     0.569503
base_link->camera6   -0.101219    -0.00910752   0.546385     3.09968  -0.0968664   -2.91108     [0.05048971921504623, 0.11383366702235775, -0.9920992061508924, -0.015226610279315038]    0.555756
base_link->camera7   -0.142634     0.0442997    0.536352    -3.04358  -0.0378968   -2.91046     [0.013150740546553267, 0.11607224571122574, -0.9918519538014162, 0.050832996556794297]    0.556759
base_link->camera8   -0.146887     0.0316306    0.577618    -3.06305  -0.0232872   -2.96583     [0.008144016329626464, 0.08814981477937818, -0.995265385003106, 0.040126033531905046]     0.59684
base_link->camera9   -0.120294    -0.03639      0.543918     3.02103  -0.0051929   -2.93251     [0.0088645091422824, 0.10400735064775443, -0.9927467305399971, -0.059647468437872775]     0.558249
base_link->camera10  -0.121839     0.0434603    0.550592    -3.04227  -0.0844279   -2.9223      [0.03646906520076685, 0.11127846862008965, -0.991655570589774, 0.05391047229638919]       0.565584
base_link->camera11  -0.143023     0.019592     0.554318    -3.09027  -0.0260697   -2.93608     [0.010329619867302504, 0.10286759536029663, -0.9942787205816073, 0.026858566171515462]    0.572807
base_link->camera12  -0.102653     0.0439816    0.553557    -3.0558   -0.113653    -2.91481     [0.05153499328562167, 0.11528137757289499, -0.9907862254589164, 0.048959206415342196]     0.56471
base_link->camera13  -0.112424     0.0461564    0.541544    -3.04797  -0.0957222   -2.95039     [0.04311022109160389, 0.09747207291742763, -0.9929906218963291, 0.05109137563771531]      0.555013
base_link->camera14  -0.12112      0.04166      0.540359    -3.03908  -0.0811246   -2.90221     [0.03409580293686942, 0.12121309631982709, -0.99047809768213, 0.05565967584023396]        0.555331
base_link->camera15  -0.430876    -0.160096     0.387785     3.03199   0.840439    -2.80412     [0.39316508619929963, -0.17512344322648954, 0.8949290523746041, 0.11770720386743015]      0.601384
base_link->camera16  -0.168966    -0.000686093  0.545799    -3.09744   0.0505622   -2.90291     [0.027719786096852144, -0.11843960229037084, 0.9923942891374522, -0.01890103053843143]    0.571355
base_link->camera17  -0.130133     0.0115753    0.54669      3.1278   -0.0273451   -3.01352     [0.014084977661935864, 0.06388884041870545, -0.997839546778474, -0.0060056938937909695]   0.562084
base_link->camera18  -0.141989     0.0232074    0.549407    -3.06169  -0.0329672   -2.85414     [0.010579922447843665, 0.14375083976159264, -0.9886706632036486, 0.04188175055190836]     0.567933
base_link->camera19  -0.137689    -0.016552     0.527321     3.13338  -0.00966375  -2.82484     [0.005419204253620514, 0.15769182411094262, -0.9874680086696341, -0.0032943417928100187]  0.545252
base_link->camera20  -0.154337    -0.00632956   0.568771    -3.12536   0.0317076   -2.93324     [0.016610320490685275, -0.10384402495642532, 0.9944341578838425, -0.0064203868963132234]  0.589373
base_link->camera21  -0.106418     0.0345726    0.54334     -3.08453  -0.107247    -2.93322     [0.05032311966366042, 0.1053249590708533, -0.9925848850379564, 0.0339040206793781]        0.554742
mean                 -0.142614     0.0172816    0.541349    -1.38202  -0.010352    -2.91965     0.5668760998639327
var                   0.00444224   0.00221256   0.00127634   7.50876   0.0372444    0.00196633  0.000278817882396537
std                   0.0666501    0.0470378    0.0357259    2.74021   0.192988     0.0443433   0.016697840650711008
Park                           x            y           z        rx           ry           rz  四元数姿态(w,x,y,z)                                                                          距离
-------------------  -----------  -----------  ----------  --------  -----------  -----------  ---------------------------------------------------------------------------------------  --------
base_link->camera0   -0.136837     0.0237873   0.569871    -3.12082  -0.0283436   -2.86348     [0.012594008247619566, 0.13873423242307603, -0.9901737821314616, 0.012250913831849458]   0.586552
base_link->camera1   -0.124486     0.0271073   0.543607    -3.09993  -0.0712411   -2.8438      [0.03212302039709827, 0.1489549850596606, -0.9879834395317002, 0.025869812476236802]     0.558337
base_link->camera2   -0.110352     0.0441527   0.539622    -3.0721   -0.106277    -2.84955     [0.0474691497802036, 0.14703670630424434, -0.9870963886891692, 0.042042909689325086]     0.552557
base_link->camera3   -0.114406     0.0612062   0.535722    -3.04366  -0.0874923   -2.88295     [0.03700853796123321, 0.13080726479918156, -0.9892371560738029, 0.05412648738596602]     0.551211
base_link->camera4   -0.187831     0.0647084   0.570039    -2.98948   0.0473296   -2.8804      [0.03328520086712389, -0.128030286221246, 0.9885755560399752, -0.07224064793172162]      0.603665
base_link->camera5   -0.162826     0.0788128   0.545311    -2.95711  -0.0079387   -2.84083     [0.009891718379162166, -0.14953708427689993, 0.9844483179040207, -0.09166418989668018]   0.574532
base_link->camera6   -0.0973975   -0.0105542   0.546728     3.09106  -0.106854    -2.82712     [0.05667668007426144, 0.1549848709866048, -0.98615073405421, -0.016558183033409724]      0.555436
base_link->camera7   -0.166345     0.0159964   0.539725    -3.08783   0.0187143   -2.86628     [0.01295310653868529, -0.1369197600262052, 0.9901733167123161, -0.025337703453453195]    0.565004
base_link->camera8   -0.155847     0.063602    0.580018    -3.00818  -0.0160331   -2.90355     [2.7252593685423938e-05, 0.11900383286766258, -0.9906215667324038, 0.06713418313154264]  0.603949
base_link->camera9   -0.114149    -0.0193696   0.54911      3.04178   0.00652317  -2.85181     [0.0039795605331504925, 0.14436323312514276, -0.9882610227494407, -0.04983543853371508]  0.561184
base_link->camera10  -0.13026      0.0601864   0.54648     -3.00545  -0.0951671   -2.85065     [0.037105800324996385, 0.14766034775114384, -0.985560058811094, 0.074100956542585]       0.565005
base_link->camera11  -0.150017     0.0372312   0.551899    -3.05227  -0.0322589   -2.86238     [0.009743920478270562, 0.13971127940906106, -0.9890542746935126, 0.04644842440907983]    0.573135
base_link->camera12  -0.133678     0.0236264   0.556766    -3.08147  -0.048594    -2.86593     [0.01992482131619862, 0.13801671796554618, -0.9896761097156328, 0.03309962108043317]     0.573076
base_link->camera13  -0.119272     0.0186509   0.54256     -3.10095  -0.0701921   -2.88568     [0.032203475159562456, 0.12820896865786843, -0.9909184426486726, 0.024617809855113856]   0.555828
base_link->camera14  -0.123301     0.0132375   0.542535    -3.09545  -0.0643993   -2.8378      [0.02832577970432306, 0.15192925503660906, -0.9875980375216189, 0.027663476853261607]    0.556527
base_link->camera15  -0.420491    -0.171303    0.393094     3.09021   0.829752    -2.68722     [0.3872942086663357, -0.2161498743450467, 0.8890235803761155, 0.11366398413468483]       0.600567
base_link->camera16  -0.177351     0.0204981   0.54888     -3.04678   0.0633666   -2.83403     [0.03852438397618299, -0.15144512576371089, 0.9868229869686995, -0.04195995843471925]    0.577186
base_link->camera17  -0.129796     0.0305877   0.546227    -3.11546  -0.0382321   -2.94158     [0.01771354860889652, 0.10006355869348224, -0.994711680262627, 0.014905957412297543]     0.562269
base_link->camera18  -0.157165     0.0380668   0.545869    -3.02067  -0.027425    -2.78213     [0.0026654072058556934, 0.17923652272040397, -0.9818534694734549, 0.06189449903234103]   0.569318
base_link->camera19  -0.125397     0.0145408   0.525712    -3.10267  -0.0555395   -2.77391     [0.023736704354544145, 0.18323550611238174, -0.9824844094906676, 0.024201307276640646]   0.540656
base_link->camera20  -0.155732     0.0188826   0.572186    -3.08752   0.0334166   -2.85688     [0.02036724244532938, -0.14135555932771682, 0.9894488812387359, -0.024386321939467895]   0.593301
base_link->camera21  -0.118724     0.0574655   0.538998    -3.01689  -0.0990102   -2.89037     [0.04120235292657093, 0.12794543557328455, -0.9885935853435901, 0.06793419350211427]     0.554902
mean                 -0.15053      0.0232327   0.542316    -2.22189   0.00200475  -2.84901     0.5697362425039776
var                   0.00399586   0.00238262  0.00122356   4.43088   0.0349712    0.00249968  0.00030871438141459
std                   0.0632128    0.048812    0.0349794    2.10496   0.187006     0.0499968   0.01757026981621483
Horaud                         x            y           z        rx           ry           rz  四元数姿态(w,x,y,z)                                                                          距离
-------------------  -----------  -----------  ----------  --------  -----------  -----------  ---------------------------------------------------------------------------------------  --------
base_link->camera0   -0.135568     0.024969    0.569631    -3.12052  -0.0324174   -2.85315     [0.014525054155358891, 0.14386331514314749, -0.9894087833724675, 0.012752597508792946]   0.586073
base_link->camera1   -0.125313     0.0261866   0.543727    -3.10205  -0.0693082   -2.83291     [0.03119142122061997, 0.15428223801917665, -0.9872217074336664, 0.024847266364491197]    0.558594
base_link->camera2   -0.109953     0.043352    0.539634    -3.07495  -0.106612    -2.8385      [0.04761824764036645, 0.15242188642500956, -0.986318964300785, 0.04092641800755338]      0.552426
base_link->camera3   -0.11459      0.0605277   0.535663    -3.04555  -0.0849411   -2.87213     [0.0355827134254476, 0.13606550350443852, -0.9886291912268761, 0.05322002926961514]      0.551116
base_link->camera4   -0.188346     0.0687231   0.570094    -2.98199   0.0463415   -2.87189     [0.033599510910501416, -0.13214771221527713, 0.9877512005312388, -0.075865808319295]     0.604321
base_link->camera5   -0.165939     0.0804772   0.545206    -2.95213  -0.00354192  -2.83195     [0.012843825109511108, -0.15367829634998736, 0.9835817929994204, -0.09372765796480174]   0.575553
base_link->camera6   -0.0987356   -0.00996483  0.546765     3.09292  -0.104653    -2.81658     [0.05553009255355478, 0.16026699780923961, -0.9853882519157804, -0.0155206707512439]     0.555698
base_link->camera7   -0.170768     0.0139392   0.539669    -3.08918   0.0279937   -2.86034     [0.01752571038180611, -0.13973699692932026, 0.9897430824414664, -0.023980240283456293]   0.566214
base_link->camera8   -0.155488     0.0689845   0.579988    -2.99928  -0.018942    -2.89771     [0.000729153704462773, 0.12199429975477785, -0.9899363927448884, 0.07171330058960124]    0.604418
base_link->camera9   -0.112232    -0.0182415   0.548843     3.04044   0.00592519  -2.84081     [0.004648727181113955, 0.14978288077218724, -0.9874212772323824, -0.050425184500912955]  0.560497
base_link->camera10  -0.130555     0.0638692   0.545429    -2.99772  -0.0989663   -2.84434     [0.03816120276928508, 0.15103127716111603, -0.9846839324441177, 0.0782996111655292]      0.564461
base_link->camera11  -0.149792     0.0409839   0.551249    -3.04492  -0.0362887   -2.85533     [0.011045626872322245, 0.14331973475856125, -0.9883304330199936, 0.050402409885296554]   0.572707
base_link->camera12  -0.135872     0.0197609   0.557196    -3.0878   -0.0430682   -2.85836     [0.01751421115281178, 0.1416330724185788, -0.9893198860881274, 0.029656166231371957]     0.573863
base_link->camera13  -0.117981     0.014923    0.54267     -3.10921  -0.0709421   -2.87768     [0.033021627884784695, 0.1320440164822719, -0.9904772630369895, 0.020706066981010993]    0.555548
base_link->camera14  -0.121411     0.00983742  0.542796    -3.10347  -0.0664626   -2.82985     [0.02985946745376055, 0.15575158128184405, -0.9870537576945814, 0.02397366372896893]     0.556296
base_link->camera15  -0.417884    -0.172394    0.39519      3.09488   0.823883    -2.67489     [0.38448272636321784, -0.220933424235095, 0.8891041543077911, 0.11338103005657751]       0.600435
base_link->camera16  -0.177963     0.021341    0.548986    -3.0442    0.0650918   -2.82319     [0.0398030916207718, -0.15669473064572265, 0.9859125569104392, -0.04288246041929852]     0.577505
base_link->camera17  -0.13065      0.0312338   0.546213    -3.1139   -0.0373582   -2.93067     [0.01711502417438261, 0.10549601002614294, -0.9941479301265967, 0.01573406626009286]     0.562489
base_link->camera18  -0.157812     0.0385723   0.545732    -3.01916  -0.0289984   -2.77128     [0.0029624523332634936, 0.1846098963986363, -0.9807996061904833, 0.06278966893089344]    0.5694
base_link->camera19  -0.124896     0.0174474   0.525521    -3.09864  -0.0588071   -2.76431     [0.024845520165248013, 0.188022227270747, -0.9814901454285959, 0.026597680470651437]     0.540441
base_link->camera20  -0.15724      0.0204074   0.572659    -3.08546   0.0369667   -2.84648     [0.022399560781638052, -0.14642326406263856, 0.9886513839607247, -0.025038538507203657]  0.594205
base_link->camera21  -0.119159     0.0599938   0.538387    -3.0102   -0.1017      -2.88255     [0.041825149314379, 0.13202184321207863, -0.9877747928225176, 0.07156709065029478]       0.55467
mean                 -0.150825     0.0238604   0.542329    -2.22055   0.00196343  -2.83977     0.5698604489837495
var                   0.00395155   0.00246997  0.00119613   4.43183   0.0346128    0.00258249  0.00031543728792451996
std                   0.0628614    0.0496988   0.0345851    2.10519   0.186045     0.0508182   0.017760554268505247
Daniilidis                     x             y          z        rx           ry           rz  四元数姿态(w,x,y,z)                                                                           距离
-------------------  -----------  ------------  ---------  --------  -----------  -----------  ----------------------------------------------------------------------------------------  --------
base_link->camera0   -0.136038     0.0349128    0.570538   -3.10801  -0.0448523   -2.79591     [0.01920003507905913, 0.17228781223924863, -0.9846483720587998, 0.020392444893423428]     0.587571
base_link->camera1   -0.136313     0.0237481    0.546439   -3.10107  -0.0492466   -2.77605     [0.020524749728139193, 0.18215479522847536, -0.9827530408297855, 0.0243890541776472]      0.563685
base_link->camera2   -0.114727     0.0406573    0.542308   -3.08055  -0.0962366   -2.77873     [0.041787980759341925, 0.18158692346517422, -0.9817258002468507, 0.03865756097053151]     0.5558
base_link->camera3   -0.122036     0.0597982    0.538416   -3.04297  -0.0620326   -2.81654     [0.022593164112851373, 0.16304762417370008, -0.9849003678850278, 0.053631022054577704]    0.555302
base_link->camera4   -0.197897     0.0838135    0.571823   -2.94789   0.0526514   -2.82077     [0.0413028535431514, -0.15640937856115072, 0.9826014245538393, -0.09123936130899342]      0.610876
base_link->camera5   -0.180285     0.0815157    0.546904   -2.93858   0.0195775   -2.77775     [0.02790957043370494, -0.17900352994443502, 0.9785681503388348, -0.09789365295088949]     0.581594
base_link->camera6   -0.0996582   -0.0103275    0.549094    3.09098  -0.101757    -2.75612     [0.05473972690596883, 0.18997430049437555, -0.9801460966784898, -0.015065079351040997]    0.55816
base_link->camera7   -0.189184    -0.00529167   0.539948   -3.1105    0.0759267   -2.83157     [0.039892901838383725, -0.15368001018044375, 0.9872694589057845, -0.009488222474797893]   0.572156
base_link->camera8   -0.162389     0.0942064    0.581147   -2.95362  -0.022313    -2.8593      [0.0022048159504994766, -0.1410851830355356, 0.9854772782480317, -0.09447033381599354]    0.610718
base_link->camera9   -0.106251    -0.00711497   0.552373    3.04802   0.00623237  -2.78088     [0.005327056118768497, 0.1793284525654846, -0.9826720606780581, -0.046567689832278346]    0.562544
base_link->camera10  -0.137875     0.0785547    0.542534   -2.96314  -0.11112     -2.79987     [0.03937734596823525, 0.1739714756261868, -0.9791625298504164, 0.09707775455725026]       0.565264
base_link->camera11  -0.155427     0.0565269    0.549837   -3.01026  -0.0474651   -2.80862     [0.012480349441912392, 0.16685164297967514, -0.9835122386469912, 0.0686181211078734]      0.574172
base_link->camera12  -0.153215     0.000871919  0.559821   -3.10966  -0.00252443  -2.81884     [0.0013194561559917088, -0.16067453462315753, 0.9868775169606498, -0.015959933479370275]  0.58041
base_link->camera13  -0.116112    -0.00499788   0.544541    3.13508  -0.0605461   -2.83008     [0.03040709646355083, 0.15495964473636914, -0.9874516355844919, 0.0014779612130202374]    0.556805
base_link->camera14  -0.116326    -0.00943219   0.545467    3.13965  -0.062438    -2.78223     [0.030885325577644868, 0.17860092145708586, -0.9834258766847239, 0.00462088579444465]     0.557812
base_link->camera15  -0.409116    -0.178206     0.404236    3.13181   0.802894    -2.59746     [0.3751635825224711, -0.249194870969881, 0.8861147470940463, 0.10933827149568157]         0.602113
base_link->camera16  -0.183824     0.0327008    0.551814   -3.01601   0.0697254   -2.76808     [0.0458262117959306, -0.18304354567158326, 0.9804855474367951, -0.055164390397950694]     0.582546
base_link->camera17  -0.132699     0.0412955    0.547576   -3.09508  -0.0440078   -2.87446     [0.01870405889244135, 0.13360850944500952, -0.9905172266361862, 0.02597206425739176]      0.564937
base_link->camera18  -0.166916     0.046535     0.545045   -2.99678  -0.0343435   -2.71617     [0.0014699950063024369, 0.21173888753952078, -0.9744954757486701, 0.07431722790565395]    0.571927
base_link->camera19  -0.119369     0.0385043    0.524511   -3.07281  -0.0893016   -2.72094     [0.036454316467664706, 0.20995031468266773, -0.9760895205906849, 0.04290915949504562]     0.539299
base_link->camera20  -0.161638     0.034511     0.576623   -3.06629   0.0424638   -2.78874     [0.027491008975186478, -0.17456048849867142, 0.9836982665388496, -0.03332567612358209]    0.599843
base_link->camera21  -0.127515     0.0754683    0.534758   -2.96425  -0.107833    -2.8484      [0.040185943442335156, 0.15000952882586627, -0.9832580365036888, 0.09531980309464251]     0.554907
mean                 -0.155673     0.0276477    0.543898   -1.63782   0.00606605  -2.78852     0.5731109363204245
var                   0.00381674   0.00306691   0.0011112   6.63068   0.0333064    0.00323316  0.00036212841341621405
std                   0.0617797    0.0553797    0.0333346   2.57501   0.1825       0.0568609   0.019029671920876987
指令: r 记录,c 计算,s  保存,q  退出:p
hand,-0.1909458309578825, -0.02952500862704461, 0.13243605612807047, 3.50406035693302, 15.15085569971144, -158.1282435584546
eye,0.05867322161793709, -0.02527722716331482, 0.42452430725097656, -167.08145861001617, -7.549849106083073, -63.19274776900387
hand,-0.1565034940831694, -0.011030362075137507, 0.06552500172011347, -28.641050869680043, 3.2333318666668056, -165.20695733232802
eye,0.009385162964463234, -0.013747572898864746, 0.4660809338092804, 165.61490149500406, -30.32437011077225, -53.032948010116435
hand,-0.1476037175259613, 0.016290567659415053, 0.0724192630858852, -19.76289786113997, -0.18892768844943184, -152.6109533006091
eye,-0.005594422575086355, 0.011987942270934582, 0.4538417160511017, 170.31239206628578, -22.813757413041202, -66.98207483314886
hand,-0.1646276745002741, 0.11715069778303924, 0.05932548241058447, -31.67408273463359, 3.912626022004683, -169.4124586124843
eye,-0.005168895702809095, 0.10511548072099686, 0.4551430344581604, 162.43715096990059, -36.3186045432866, -49.63088773843153
hand,-0.18821803229366102, 0.06598943654046668, 0.052982638123447806, 25.160915780319176, 12.166836141522879, -73.8299385023172
eye,0.03216411545872688, 0.07485400140285492, 0.4970308542251587, -152.828875583723, 5.6091502351023825, -141.89891904224694
hand,-0.15820517020659713, 0.048762743021836426, 0.06846603798990067, 17.22408959483655, 5.191583447971759, -13.403550136469317
eye,0.003280394244939089, 0.04936062917113304, 0.4609689712524414, -158.82550077498234, 15.550563211540116, 158.18588235335682
hand,-0.10753626044710526, -0.011041855946589954, 0.10758489779954994, -6.570067298974735, 5.676544282249046, 15.806463632457149
eye,-0.03656747192144394, -0.018587946891784668, 0.421250581741333, 171.83815519408535, -7.807323777580737, 125.77539556980545
hand,-0.1278985606251319, -0.025321781960905593, 0.058993447114078446, 38.481462198255315, 48.234082742392964, 8.980838883132376
eye,-0.023742470890283585, -0.03686762601137161, 0.4760359227657318, -120.93860507783211, -2.830892849929179, 145.20589083289497
hand,-0.19995382745948032, 0.058860028428016076, 0.04651156113248667, 40.05447254692212, 11.036739588949255, -83.8923822535399
eye,0.04731586575508118, 0.07517793029546738, 0.5179858207702637, -143.06026894908325, 19.17045197056506, -125.54996961577402
hand,-0.2601409659344997, 0.11072880881479429, 0.1778059333334896, -12.824336818928884, 9.86767327274137, 170.87518945325726
eye,0.10794030129909515, 0.12956175208091736, 0.3695942163467407, -176.4419805563596, -13.03543768167828, -33.62922869134137
hand,-0.10764530560008188, -0.06608782981879817, 0.11072346658137544, 25.17655812023006, -10.997584908482418, -69.88262848242569
eye,-0.017157096415758133, -0.0664294958114624, 0.435733437538147, -167.56828723132173, 27.274047705323788, -146.52277252803864
hand,-0.1289103980499594, -0.048006022981273676, 0.0930284855255454, 27.343129165858254, -2.905893002311986, -80.23098000283679
eye,-0.002470846986398101, -0.04561109095811844, 0.45157352089881897, -163.98476768893966, 21.826551062899753, -136.3578435630838
hand,-0.12466279028608115, -0.052180642274879445, 0.05732907535705012, -53.37027160428626, -20.82237715763426, -158.55946367966763
eye,-0.017217088490724564, -0.057125065475702286, 0.49344733357429504, 124.38892269531779, -30.263997583565608, -38.368369571945486
hand,-0.09454089242915838, -0.001589934685480075, 0.08244428882092644, -32.765960824157254, -31.566344388418145, -141.6375157291586
eye,-0.06023188680410385, -0.011132221668958664, 0.44579577445983887, 136.33777344000873, -9.645518584429947, -68.7697570414871
hand,-0.09214994723594513, -0.02118715313623601, 0.08244428882092639, -32.765960824157254, -31.566344388418145, -129.65255949462687
eye,-0.058688387274742126, -0.023314662277698517, 0.4467763602733612, 136.493650976494, -9.371567121354074, -78.02172849691034
hand,-0.11289423442458774, -0.0175437484765728, 0.10559414449968302, 19.37645177136755, 21.666191109973845, -129.68537732949494
eye,-0.02507401444017887, -0.014819441363215446, 0.432975709438324, 159.15804001682974, 14.616319421308276, -83.02245101109412
hand,-0.18239828537662764, 0.06682471024176057, 0.06363349225638978, -35.529716908005206, 14.569501021893723, 139.45742578260408
eye,0.028959661722183228, 0.08856333047151566, 0.46441903710365295, 163.68607866617427, -34.1508872494423, 2.8137916848092708
hand,-0.14610932462304868, 0.0046496777067481215, 0.08118696547652246, -27.339707900170954, 10.536360117947979, 103.89055298591313
eye,0.009773674421012402, -0.00830285344272852, 0.45133015513420105, 168.46780980841754, -30.081726805741766, 31.156699737737423
hand,-0.1268360160668243, -0.07267860257927601, 0.08118696547652246, -14.940471870290496, 25.327421911217055, 174.09473498028964
eye,0.005033101420849562, -0.05846874415874481, 0.46090662479400635, -173.10920097176972, -31.128696497251443, -34.539827302874855
hand,-0.19248764138161084, -0.005325064168867112, 0.041138013935152734, -46.69577156282343, 23.724984480699597, 86.25581607607312
eye,0.05089617893099785, 0.032604534178972244, 0.47588902711868286, 168.60966630006646, -51.70691366966222, 53.78852754893437
hand,-0.27303669275073594, 0.06624854613902537, 0.08475217262507284, -25.97910990202603, -5.851009129479196, 95.52869701678053
eye,0.12068451195955276, 0.10272657871246338, 0.4638156294822693, 156.80902642629766, -14.786640399942858, 48.74709810116025
hand,-0.11982114222669041, -0.043340176505412525, 0.1791543327084362, -4.742272783364646, 53.298511347979606, -166.03170434607642
eye,0.0039454130455851555, -0.052309680730104446, 0.3613627552986145, -131.26875881429334, -37.447191569131995, -73.69985926450967